src_origin_id,dst_origin_id,edge_type
86112842,70729371,2
46014764,96878561,2
10638601,34210503,0
51977774,79828964,3
84878014,62858801,4
74518687,54244708,2
25785668,2274258,0
10932084,11423942,5
92283697,76586924,0
5071981,86157598,5
59863204,77052093,4
72550375,90701466,2
42991308,66873273,1
18725113,18749374,0
78678104,5178354,1
14359601,33473030,1
4634277,44396368,4
13415575,18812447,0
70771007,33931990,2
17774945,95168784,3
37234460,19760176,5
57122814,65687923,0
79830097,12523574,3
61958107,44020287,4
87321947,93792974,0
77736526,17375410,4
62858801,6964218,1
21363711,34873668,0
8226770,21363711,4
80304835,84598553,4
51697995,79564481,4
58414935,58313145,1
72383338,90222740,0
21341128,48688196,2
51573998,50423343,2
75096862,84878014,2
16207213,14893179,5
91899040,86112842,3
16207213,62858801,2
3327035,84320039,3
65914000,41419849,4
60211268,66099733,5
11935584,85916289,5
88801515,82923106,0
59358895,36348124,4
58155029,78940178,4
94537532,16323771,3
88764247,34313252,0
97472775,52582875,2
65582773,65531791,2
56973057,65914000,0
67399732,47547033,1
76069253,91801972,1
57873880,96348410,1
32986781,62680924,2
34997044,75182365,3
45358004,61885171,0
13035801,79564481,1
65687923,41184872,4
93099157,13280405,0
24833119,52415231,0
86931229,61340927,2
3065651,50560775,0
82205007,14493455,0
5656821,37461538,0
79771027,76642175,2
93296587,29541773,4
58316486,4654643,4
91756859,78622715,3
56967818,78678104,2
5094437,73415669,0
43860082,77750594,2
81780015,50987283,2
93296587,24847897,0
29388081,56021427,4
75190723,36514086,5
30867005,60494009,3
48458965,90291578,3
62979102,12028460,0
89585994,45944366,5
38657688,16107610,2
64814119,5071981,3
47147496,57828040,5
27897572,33717534,5
16922964,3981186,2
64069484,80921484,3
72689900,81091385,1
59492776,87321947,1
45515442,65412305,2
60478215,78413931,1
58951273,89352554,2
76069253,55811820,3
96932440,96348410,3
44969603,80221730,0
2853282,41969666,2
76642175,7601133,2
67399732,14493455,1
34997044,30255613,5
54731336,78768599,1
83367715,91013420,5
28183051,76514927,4
18470473,15769506,3
62871650,44382541,3
95247461,32889148,3
28551108,56361463,2
76125443,36416673,3
75720205,49059804,4
78221493,43661986,5
43860082,79828964,5
54424814,13035801,2
42004634,99984451,1
94250327,40111311,1
26585030,93219141,3
62272231,21341128,2
38279288,29388081,1
7940673,66099733,5
79564481,34521014,2
61184340,31433411,4
24250972,1393508,1
30149684,68562456,5
93099157,16323771,1
39001507,76835440,0
16207213,32051222,1
81492107,50779938,2
83798729,81492107,1
26914101,99288844,2
13035801,7133482,4
43558183,94764184,1
65555504,14776143,3
97487491,67162304,3
5694473,15584802,4
89214091,67589365,4
31294662,98547267,5
77630927,21742096,3
44969603,4093804,0
15074364,30207964,3
80473651,98267514,4
70726608,61516380,4
62871650,33931990,2
95351760,79483933,4
36882954,61465596,5
99810256,18972930,2
56395477,25811340,0
30207964,97979266,0
97997255,30867005,1
20691229,21363711,0
53831760,77177964,4
72145844,3459327,0
19029162,81332487,4
43905762,95965062,2
17517438,5568148,4
95247461,31433411,5
35897074,4249308,1
55141782,45575301,2
28751123,52537863,5
42309795,62232737,5
94000455,75720205,5
59792418,67025723,5
18327243,47577807,2
58032277,76131124,4
83749461,99288844,1
8255706,40417597,0
30505086,36514086,3
7940673,5694473,5
99452107,72888285,3
25733402,98189177,4
62767829,54244708,0
97472775,13218527,4
66765332,76131124,3
67435329,61647480,0
42077860,48450404,0
8855175,39001507,2
21038160,86205110,0
39923474,19232758,1
46713421,35897074,4
12523574,65570292,3
39690660,56967818,0
20005602,5880758,3
42783434,43558183,5
10638601,86157598,4
42309795,36939955,3
83806370,64586191,5
62979102,40314607,1
47202188,75190723,5
57828040,31818252,5
42231365,10799757,0
47320776,44085917,1
35852332,32347218,5
75321718,18491106,1
26255328,33890429,4
43103461,79828964,4
72888285,14604174,1
2058885,61465596,3
52029429,92515641,3
58424890,76642175,2
7940673,2122815,1
69273852,28751123,5
68245633,7601133,1
72700422,73980189,5
67973560,26729144,4
80134473,89565900,2
54372141,81758915,2
24324371,18952951,1
91299650,16323771,0
67435329,3327035,4
67025723,27909594,2
69273852,7816940,1
95247461,15578836,0
39690660,9805659,0
72442273,42991308,0
17120557,90222740,5
91610902,14359601,3
8226770,95523584,5
63117917,90492844,2
81332487,56613159,5
99045400,93646850,1
66228077,68226701,4
34862159,55711502,5
2402225,77490236,3
31597987,7816940,1
12912837,40123311,2
8255706,97984602,5
94924520,54244708,1
85350515,58032277,2
14604174,1393508,2
99984451,62573132,2
34276120,75720205,2
16838052,16107610,5
56021427,81606214,3
79559821,85190615,1
19294395,15287134,5
76423290,37879564,3
4744755,49402718,5
95168784,99984451,0
49135223,99785037,0
29044076,56967818,1
12784688,73980189,2
47320776,21635404,1
83768918,89722927,0
34313252,76602949,4
45358004,86342058,4
32347218,41834084,0
15264661,87560735,0
11415711,80473651,2
44507497,62966789,2
59863204,39001507,5
11226735,29465404,5
32986781,49060976,3
2122815,78413931,5
33473030,61260775,0
34521014,75321718,3
9805659,97979266,5
76586924,97472775,5
18491106,3459327,2
54131509,63965314,3
54961898,56613159,4
4654643,14722826,0
27982545,65412305,2
94398257,9247531,5
82051728,45575301,4
35285498,39794651,3
26957315,55404005,1
93219141,85350515,4
61430358,67784473,1
36416673,5094437,3
65433592,89565900,0
26729144,29541773,4
93940925,36778760,1
69638543,99002727,1
49159121,78562346,5
17517438,64814119,4
8682289,10838698,1
32785159,60211268,0
72145844,5656821,3
28882537,92058533,1
54244708,81508752,0
52029429,50301001,4
69273852,56973057,4
46267719,62749025,0
2274258,75423019,4
29168827,4562985,4
4923201,1796408,0
54961898,70726608,3
82936433,3053728,0
81498507,28882537,1
92622155,76125443,3
91756859,96916009,4
93868648,20691229,0
4043214,90723088,5
56701536,83169610,2
44969603,18327243,2
80536538,69711230,1
29465404,30505086,4
48450404,58951273,0
38657688,45484100,3
56298511,28751123,0
42701979,74595577,0
26399400,83260554,3
26852892,79242099,5
76172196,15675730,4
2122815,31433411,4
3187806,24250972,5
79772107,73299029,0
67609539,64979475,3
16323771,96689382,0
86788925,34521014,2
19190465,87560735,1
80304835,71532499,5
60478215,82310849,1
45950106,82070785,2
7601133,60162687,5
83288209,56298511,1
51428509,36416673,2
15769506,77756657,4
94764184,5015485,5
91610902,96316619,2
55141782,38448853,1
56145221,93099157,0
68528226,89722927,1
52913290,86112842,1
91756859,42806216,2
7391595,40247309,5
9805659,75720205,5
91919535,37273305,1
44382541,47241063,2
86864896,4654643,3
88380533,47202188,4
66669340,8255706,0
13280405,81780015,0
70840601,19760176,3
46267719,36720166,0
58519493,94867126,4
13035801,37460950,4
38804264,1957344,0
81091385,15578836,1
36939955,75423019,0
72689900,29168827,3
29674295,7596840,2
19192029,86788925,4
32889148,18749374,4
83768918,14776143,0
71258874,76602949,0
13128935,81512426,3
99002727,24847897,0
2712318,55051837,5
94627612,21038160,5
6678957,18491106,3
30206100,29674295,0
54372141,16107610,5
30324773,17774945,2
80473651,5094437,3
2996109,29674295,1
7391595,29674295,5
61516380,52451126,0
45484100,83367715,2
49322560,7317559,4
5094437,80438248,3
78916755,47130048,4
10638601,71914041,0
19581877,55141782,3
17337074,74094009,4
86931229,96371570,3
78678104,63247299,1
50707133,72689900,1
68295108,99472823,3
92564608,91899040,5
50779938,54327245,0
32195622,34313252,0
66482243,54068207,3
14528610,12784688,3
68226701,33717534,2
43905762,28183051,4
83768918,25811340,5
17337074,59863204,2
97140311,20230309,4
54244708,59075094,3
33717534,15023576,1
12069488,47320776,1
20005602,98484780,1
77736526,42231369,0
23095311,77436730,2
24010100,67973560,1
90291578,19294395,3
88380533,56219735,3
29019934,18508282,4
87973174,65215366,2
56701536,10309049,0
25608298,19581877,4
71304391,69711230,4
2996109,51338291,3
89352554,35900077,5
38266828,82070785,3
3053728,76986188,3
19235679,31818252,1
76423290,12221428,1
26914101,26135697,3
89565900,19581877,2
17256350,58067253,1
75190723,49159121,1
42748237,43558183,1
53911919,92515641,4
73185745,70524512,3
56145221,11415711,5
76069253,46840802,4
52895620,52943905,2
59075094,96916009,3
18749374,16107610,4
14722826,1393508,2
87560735,37273305,4
30375856,68226701,3
98450014,3065651,2
93267505,40721785,4
13742569,97979266,5
27008796,26957315,4
4634277,3065651,2
7596840,88741593,0
49339018,85196390,0
7391595,99810256,4
53831760,49135223,5
79390312,91756859,4
20691229,51024710,0
62871650,55048310,0
7816940,93014269,3
65539387,3327035,2
79772107,83558474,0
65555504,46418553,1
56329333,20168133,2
77490236,86669681,3
83267934,90704448,4
84598553,43725988,4
51428509,17944166,4
68320828,3531271,4
25733402,81347992,2
97472775,86788925,2
72442273,17774945,4
41834084,16323771,4
96585196,80473651,1
87355553,49402718,2
27897572,69273852,1
31433411,98547267,4
46684346,18470473,5
30951634,7133482,2
65582773,20230309,3
26942284,82051728,5
31294662,84598553,5
68676115,49322560,4
39568798,35897074,5
91801972,45358004,4
38657688,41419849,5
66632684,44558544,5
20786328,18749374,3
61465596,2122815,0
90291578,46713421,4
72700422,58316486,5
99288844,75751217,1
7778436,53095236,1
66304298,11226735,1
18952951,65582773,4
15769506,11226735,3
83379635,56329333,4
55811820,75919659,0
37860752,20019350,0
99452107,51888626,3
29019934,7013194,3
23214711,49215528,1
91801972,15264661,2
68562456,45048726,0
93219141,75182365,0
41184872,61516380,5
84165555,43558183,2
40719046,29168827,4
12651396,82310849,3
90723088,91226623,0
66632743,95362245,5
5568148,38362203,5
94170935,14359601,0
77736526,24250972,0
62650848,6964218,5
18470473,3981186,4
98267514,1076806,0
74094009,47241063,3
46722099,67009141,0
31433411,46704517,1
27840801,77756657,1
13793363,5015485,5
45358004,58316486,0
91013420,79830097,5
32347218,25733402,0
14186362,79564481,1
87560735,33848776,5
56932773,55814795,0
91573024,44335814,3
90291578,40314607,0
17687584,62416107,4
58951273,61279292,2
14722826,33473030,1
98484780,90762994,4
73185745,82051728,2
52118190,15769506,3
42004549,45950106,2
57911977,71532499,3
77548590,2402225,3
36416673,23095311,4
27897572,38448853,1
96348410,54642661,2
13280405,19581877,0
79483933,85791733,3
98267514,78768599,0
62858801,57593046,3
18952951,14893179,2
28551108,19584170,1
96348410,55051837,0
8855175,96916009,1
8855175,62858801,4
73223729,75321718,4
42806216,65030190,3
34873668,94250327,2
46014764,39794651,4
41419849,41834084,3
