,group_id,src_id,dst_id,edge_type
0,0,5471,2119,1
1,0,3737,214,2
2,0,2876,8057,3
3,0,4754,421,1
4,0,3085,957,1
5,0,8661,6618,4
6,0,241,3221,5
7,0,8899,2633,5
8,0,9186,230,1
9,0,9112,4297,4
10,0,8406,546,4
11,0,5914,2552,4
12,0,4352,9138,5
13,0,163,5965,3
14,0,5583,5132,3
15,0,3742,1870,1
16,0,8893,5466,5
17,0,1949,4257,0
18,0,4349,1402,2
19,0,1219,4355,5
20,0,9146,7566,4
21,0,6274,7127,4
22,0,9933,8752,0
23,0,9796,5408,3
24,0,4865,2107,1
25,0,4511,7670,0
26,0,8171,5492,0
27,0,1885,5838,0
28,0,752,1231,4
29,0,3379,7556,0
30,0,2242,7338,1
31,0,3916,7665,1
32,0,739,2421,4
33,0,9239,4572,0
34,0,7636,2699,0
35,0,3492,5527,2
36,0,6543,5566,2
37,0,9913,3549,0
38,0,3326,2401,3
39,0,3469,3629,0
40,0,4854,7538,1
41,0,7019,2832,3
42,0,3763,2633,4
43,0,1594,7304,2
44,0,1174,1989,3
45,0,4874,7852,2
46,0,9888,2007,5
47,0,2266,4772,1
48,0,7230,5921,3
49,0,3873,8896,1
50,0,2704,7509,4
51,0,2924,5983,3
52,0,8610,6497,5
53,0,4583,9713,2
54,0,1673,6514,1
55,0,5910,169,4
56,0,1504,7611,1
57,0,8486,6794,1
58,0,8953,7633,2
59,0,4405,6011,0
60,0,9858,5665,0
61,0,5136,2858,2
62,0,5550,2659,3
63,0,5900,4539,5
64,0,8011,1926,2
65,0,7250,4926,5
66,0,1178,4225,3
67,0,5651,7369,4
68,0,6477,5970,1
69,0,278,4640,0
70,0,1930,5518,3
71,0,6681,1018,0
72,0,6055,9537,3
73,0,2313,3910,4
74,0,1984,1581,1
75,0,1428,5958,3
76,0,1942,3184,4
77,0,4830,5155,1
78,0,555,9255,2
79,0,8249,2167,2
80,0,304,12,2
81,0,8956,4066,4
82,0,7090,5117,2
83,0,737,9246,1
84,0,2397,9437,4
85,0,1975,7965,1
86,0,7499,4228,3
87,0,719,2333,5
88,0,9405,4997,2
89,0,5317,4146,1
90,0,6,5567,4
91,0,6034,3857,4
92,0,949,7440,2
93,0,5409,4531,1
94,0,6595,4457,1
95,0,5760,7334,3
96,0,8576,6629,1
97,0,9100,6636,3
98,0,5072,3103,3
99,0,7482,9181,2
100,0,7517,2630,0
101,0,8199,2670,4
102,0,6798,3584,5
103,0,7884,5878,5
104,0,8991,3017,1
105,0,9256,7582,2
106,0,9625,6707,1
107,0,8398,8668,1
108,0,3934,3529,2
109,0,4046,3251,5
110,0,4732,8563,3
111,0,6424,518,5
112,0,9254,1217,3
113,0,8896,4196,5
114,0,3076,9228,4
115,0,9426,8624,3
116,0,4561,8580,5
117,0,2863,8353,5
118,0,3615,1089,3
119,0,4829,4676,2
120,0,8548,1750,1
121,0,3857,777,4
122,0,3231,7122,2
123,0,9260,409,1
124,0,8492,7185,4
125,0,7502,694,3
126,0,6337,800,3
127,0,4832,3027,3
128,0,6004,7428,0
129,0,146,5068,3
130,0,1955,7439,5
131,0,6653,5328,5
132,0,2129,3831,0
133,0,8656,3141,1
134,0,2955,33,0
135,0,4258,5544,1
136,0,8710,9119,3
137,0,200,2519,0
138,0,6799,7734,0
139,0,5474,9999,0
140,0,3941,7143,5
141,0,965,96,4
142,0,9932,3110,4
143,0,4931,1071,2
144,0,9586,8105,3
145,0,1888,7919,4
146,0,8372,714,0
147,0,9525,7314,2
148,0,4963,3833,1
149,0,3793,598,5
150,0,3785,402,1
151,0,3373,8148,4
152,0,1456,1730,1
153,0,7942,5702,2
154,0,937,5130,5
155,0,6432,9650,2
156,0,1779,9941,4
157,0,7363,7583,1
158,0,1065,6436,0
159,0,7186,3303,0
160,0,9698,2371,4
161,0,5374,6951,0
162,0,3361,9081,5
163,0,8141,9722,3
164,0,6674,1486,3
165,0,6806,1231,4
166,0,1127,7877,2
167,0,8684,4537,5
168,0,4027,3373,3
169,0,6027,7775,4
170,0,4829,2761,4
171,0,3329,5850,2
172,0,1651,3706,5
173,0,632,4600,1
174,0,3181,3994,1
175,0,4643,1645,2
176,0,8384,1176,3
177,0,5976,9564,1
178,0,968,2429,5
179,0,5079,7597,5
180,0,9974,5890,2
181,0,5536,7051,1
182,0,3725,7567,5
183,0,6374,9441,4
184,0,4840,5333,5
185,0,1136,1587,3
186,0,1094,4352,1
187,0,6793,8196,0
188,0,3971,1344,5
189,0,290,7483,5
190,0,5038,5883,0
191,0,4014,1935,1
192,0,7767,5507,4
193,0,2934,8476,4
194,0,6464,544,2
195,0,4776,5634,5
196,0,8798,2320,0
197,0,8564,7898,2
198,0,5909,2634,0
199,0,5692,6465,2
200,0,6662,5476,0
201,0,4515,8084,1
202,0,378,6162,4
203,0,58,3955,3
204,0,2254,1149,0
205,0,6088,5638,5
206,0,9940,3946,3
207,0,54,7311,3
208,0,7150,7982,2
209,0,3811,7787,2
210,0,5137,648,3
211,0,9561,2916,3
212,0,8879,6047,4
213,0,9403,5753,5
214,0,7315,7659,0
215,0,9463,5399,5
216,0,5486,1348,5
217,0,7783,3186,5
218,0,2568,7385,5
219,0,9518,6928,4
220,0,3416,6420,5
221,0,7403,8605,1
222,0,8982,5944,2
223,0,1010,6869,4
224,0,8002,8454,1
225,0,8819,1176,4
226,0,5604,5781,1
227,0,5643,6890,3
228,0,2802,4507,5
229,0,3907,8688,4
230,0,8588,5696,0
231,0,7722,1046,4
232,0,4587,8351,1
233,0,4753,4201,2
234,0,3124,3122,1
235,0,5346,1605,0
236,0,9727,9011,4
237,0,5838,4147,3
238,0,5229,1107,3
239,0,599,3497,5
240,0,765,5121,0
241,0,8746,4493,2
242,0,5622,1280,0
243,0,2771,6675,0
244,0,9985,268,0
245,0,5605,1907,0
246,0,3361,5783,1
247,0,8287,6457,1
248,0,6131,5966,5
249,0,4068,5018,5
250,0,4761,8276,0
251,0,6270,570,2
252,0,1658,7720,2
253,0,9341,6682,0
254,0,4603,3784,4
255,0,6560,4373,1
256,0,1361,6423,4
257,0,93,459,4
258,0,9986,8817,0
259,0,6520,6934,2
260,0,995,6797,3
261,0,3572,784,4
262,0,4503,9170,0
263,0,3666,3834,0
264,0,4132,4844,4
265,0,2474,1536,4
266,0,9324,318,2
267,0,521,350,1
268,0,1447,3389,0
269,0,2386,5103,2
270,0,7272,5189,1
271,0,1440,6795,1
272,0,267,8021,0
273,0,3272,2458,5
274,0,2470,3962,1
275,0,5592,727,0
276,0,279,4951,0
277,0,8434,7103,1
278,0,2194,6196,2
279,0,6947,8975,4
280,0,3936,8279,2
281,0,1001,4156,3
282,0,3793,9338,5
283,0,7866,8492,0
284,0,9861,654,2
285,0,4969,9106,0
286,0,3866,3448,0
287,0,8727,4736,3
288,0,2470,7653,2
289,0,219,2206,5
290,0,6672,6399,2
291,0,2324,6262,2
292,0,7236,9603,0
293,0,9820,6740,4
294,0,2432,1232,1
295,0,2443,3727,5
296,0,5425,2864,4
297,0,370,9144,5
298,0,5393,9037,1
299,0,9094,6852,1
300,0,610,5045,5
301,0,3849,1922,3
302,0,2566,9481,1
303,0,9627,4026,0
304,0,1668,1743,0
305,0,7704,2466,0
306,0,7188,7648,0
307,0,7640,8250,1
308,0,6858,3554,5
309,0,336,4907,5
310,0,333,7424,5
311,0,2297,4144,0
312,0,4266,2394,5
313,0,3743,8907,3
314,0,7628,1684,5
315,0,2190,2039,4
316,0,121,3221,3
317,0,8416,8607,3
318,0,4635,9256,4
319,0,3438,9102,2
320,0,4867,2398,1
321,0,3863,6790,0
322,0,4305,4219,5
323,0,2443,2084,0
324,0,8582,428,0
325,0,3448,1585,4
326,0,4749,8610,4
327,0,4525,3814,0
328,0,9938,3598,4
329,0,4073,7689,1
330,0,2461,2433,4
331,0,569,7653,5
332,0,5849,3038,3
333,0,3278,9236,0
334,0,9419,5123,5
335,0,8551,7220,5
336,0,8550,8841,4
337,0,8714,7424,3
338,0,8481,5922,1
339,0,6069,5522,1
340,0,6406,3290,4
341,0,5283,5876,4
342,0,474,1346,1
343,0,691,5231,0
344,0,8451,7056,4
345,0,6020,6071,5
346,0,5561,2421,3
347,0,1086,7507,0
348,0,1064,5210,1
349,0,4316,9539,5
350,0,8446,8334,2
351,0,8556,5714,1
352,0,7614,1618,2
353,0,602,1378,5
354,0,5356,8154,1
355,0,8517,9023,0
356,0,7523,9247,4
357,0,4870,7207,3
358,0,2704,414,2
359,0,5540,7172,4
360,0,2469,8711,1
361,0,9604,874,2
362,0,5191,3644,0
363,0,4365,7975,3
364,0,3176,1621,2
365,0,1582,8029,5
366,0,57,2334,4
367,0,7396,7632,4
368,0,9813,9073,4
369,0,8787,2278,2
370,0,9492,9548,1
371,0,6183,1421,2
372,0,1438,1669,2
373,0,821,7943,3
374,0,4446,3105,1
375,0,219,3809,5
376,0,9614,1232,0
377,0,7738,1095,5
378,0,2239,4668,1
379,0,1629,2320,3
380,0,3898,541,3
381,0,2713,8487,0
382,0,4841,6128,2
383,0,5636,1126,0
384,0,1509,833,2
385,0,4864,7514,2
386,0,9868,3782,1
387,0,8137,4681,5
388,0,8589,6461,1
389,0,5733,3666,3
390,0,9668,960,4
391,0,9111,2132,5
392,0,3607,4909,1
393,0,1371,4618,0
394,0,1502,7906,0
395,0,9517,5753,2
396,0,9923,5835,2
397,0,5007,1277,1
398,0,2306,3150,3
399,0,3628,8553,2
400,0,9773,6782,2
401,0,2637,4353,5
402,0,6743,3425,0
403,0,2208,1101,2
404,0,9606,7940,2
405,0,6793,8229,4
406,0,6152,4132,1
407,0,6876,5973,2
408,0,9067,9375,4
409,0,9542,8677,0
410,0,8872,784,5
411,0,7805,3365,2
412,0,3417,3267,2
413,0,9884,7751,3
414,0,4765,3424,4
415,0,6069,5114,5
416,0,8788,6047,3
417,0,6768,3628,5
418,0,1454,8981,3
419,0,1913,1314,5
420,0,4194,8065,3
421,0,291,4180,1
422,0,4994,2714,5
423,0,7909,2735,1
424,0,6102,7014,4
425,0,8274,2779,0
426,0,9851,5446,4
427,0,8655,3216,1
428,0,1076,9842,4
429,0,77,1203,3
430,0,4855,2062,2
431,0,1277,2027,4
432,0,8142,7555,0
433,0,662,6393,3
434,0,4497,8122,1
435,0,7662,3685,3
436,0,2545,1322,0
437,0,4102,2227,3
438,0,2474,2676,3
439,0,4070,7829,4
440,0,2407,7542,1
441,0,9886,404,1
442,0,9493,4838,3
443,0,8710,8700,1
444,0,7860,8932,0
445,0,7172,8891,1
446,0,9597,4022,5
447,0,9415,6549,1
448,0,1157,4612,5
449,0,8877,9779,0
450,0,4008,831,5
451,0,7378,5737,4
452,0,14,4462,5
453,0,4079,2675,0
454,0,6695,6031,3
455,0,6812,8505,4
456,0,6931,103,4
457,0,9905,4001,5
458,0,5192,3405,2
459,0,1206,367,3
460,0,2466,1593,3
461,0,5513,9646,2
462,0,7502,5186,1
463,0,4796,6074,3
464,0,127,6563,1
465,0,2967,2915,4
466,0,9686,3287,4
467,0,2388,2337,4
468,0,213,3581,0
469,0,3750,2780,0
470,0,683,7172,1
471,0,3526,8125,3
472,0,1306,7869,2
473,0,4152,8666,5
474,0,7105,7482,1
475,0,4322,552,3
476,0,9789,8283,5
477,0,1489,5957,3
478,0,9572,3977,3
479,0,8985,6809,0
480,0,7714,9358,4
481,0,8872,5638,3
482,0,4112,2355,1
483,0,5221,2955,1
484,0,7109,7290,3
485,0,7243,5282,4
486,0,5493,7548,1
487,0,9467,17,5
488,0,4167,4245,5
489,0,7708,6210,5
490,0,2943,8039,4
491,0,5794,7177,0
492,0,4484,303,1
493,0,9134,9717,3
494,0,1029,320,0
495,0,1737,4567,4
496,0,1883,4140,0
497,0,6861,3795,4
498,0,603,4304,3
499,0,2032,3689,4
500,0,4978,754,0
501,0,724,1079,0
502,0,6237,7597,3
503,0,2961,3539,1
504,0,656,512,5
505,0,6991,9824,0
506,0,6958,1150,0
507,0,7733,3409,5
508,0,9949,5279,4
509,0,3508,848,2
510,0,107,745,3
511,0,6682,8447,3
512,0,3233,8916,0
513,0,7479,103,3
514,0,6804,3432,1
515,0,9456,8214,0
516,0,910,6677,4
517,0,3945,3506,5
518,0,2802,9022,4
519,0,2368,2102,2
520,0,5878,7654,4
521,0,2551,1812,3
522,0,694,3944,4
523,0,76,406,2
524,0,5759,954,2
525,0,585,4504,5
526,0,5753,5423,3
527,0,8125,1784,4
528,0,2636,6871,1
529,0,7468,8782,4
530,0,6879,6093,2
531,0,9876,7665,2
532,0,8471,2759,4
533,0,2154,8561,0
534,0,9970,8753,2
535,0,34,4270,5
536,0,262,92,5
537,0,1157,4856,0
538,0,7378,4118,2
539,0,7461,5447,0
540,0,7032,4554,1
541,0,4685,8699,3
542,0,7362,6779,0
543,0,6749,9329,4
544,0,9989,9310,2
545,0,3173,5834,2
546,0,7308,9995,3
547,0,5793,9022,5
548,0,1809,7488,3
549,0,7567,3390,4
550,0,9160,9893,0
551,0,8378,9395,1
552,0,1229,4454,3
553,0,682,46,5
554,0,7789,2860,2
555,0,9811,9762,2
556,0,8986,7383,2
557,0,9432,8375,2
558,0,2351,9390,5
559,0,465,4088,4
560,0,4661,948,4
561,0,7549,8424,1
562,0,53,9332,1
563,0,550,8573,3
564,0,3219,5502,5
565,0,4604,3763,1
566,0,6255,1729,2
567,0,5129,6388,0
568,0,9043,576,1
569,0,5811,9984,3
570,0,1650,8313,5
571,0,2321,6609,2
572,0,501,9628,4
573,0,4733,6732,5
574,0,4029,9442,2
575,0,1703,4131,5
576,0,72,5870,4
577,0,8095,3837,2
578,0,1560,2239,1
579,0,6839,5899,3
580,0,3960,309,3
581,0,9709,2139,1
582,0,9399,9427,2
583,0,6465,3232,1
584,0,9015,3260,1
585,0,5131,6795,4
586,0,9462,6072,1
587,0,6926,3281,2
588,0,3180,2581,5
589,0,4682,4685,5
590,0,1840,7430,0
591,0,8460,5030,2
592,0,3076,3434,0
593,0,6007,2338,5
594,0,4017,3837,5
595,0,7054,4453,1
596,0,2509,9067,1
597,0,7473,0,2
598,0,7842,7852,5
599,0,7209,275,3
600,0,9844,6555,1
601,0,1402,6316,2
602,0,1162,4528,4
603,0,9098,1547,0
604,0,8125,9758,3
605,0,7037,9844,3
606,0,1230,3032,4
607,0,4554,8926,1
608,0,9005,9304,5
609,0,3429,8949,5
610,0,4351,678,3
611,0,8288,4149,1
612,0,6833,4656,4
613,0,7639,1147,5
614,0,5320,8742,5
615,0,5478,4884,1
616,0,5275,3594,4
617,0,2208,543,1
