id,node_label_0,node_label_1,graph_id
2,0,1,0
491,1,1,0
102,1,1,0
285,0,0,0
441,0,1,0
618,1,1,0
691,0,0,0
667,1,1,0
214,0,0,0
518,0,0,0
373,0,0,0
740,1,1,0
185,1,1,0
546,0,1,0
853,0,1,0
545,0,0,0
487,1,0,0
69,1,0,0
509,1,1,0
569,1,1,0
997,1,0,0
36,1,0,0
163,1,0,0
268,0,0,0
332,1,1,0
213,0,0,0
746,0,1,0
435,1,0,0
288,0,0,0
186,0,0,0
223,1,0,0
21,0,1,0
944,1,1,0
701,1,1,0
870,1,1,0
506,0,0,0
451,1,1,0
367,1,0,0
858,1,0,0
61,0,0,0
996,0,1,0
340,1,1,0
624,0,1,0
939,1,1,0
578,0,0,0
480,1,1,0
844,1,0,0
258,1,1,0
286,1,0,0
259,0,0,0
156,1,0,0
9,1,1,0
310,0,1,0
865,1,0,0
910,1,0,0
631,1,0,0
930,0,0,0
407,1,0,0
114,0,1,0
378,0,0,0
537,0,0,0
898,1,0,0
15,1,0,0
514,1,0,0
539,0,1,0
923,0,0,0
678,1,1,0
886,0,0,0
575,0,0,0
89,0,0,0
19,0,1,0
605,1,0,0
181,0,1,0
688,1,1,0
180,1,1,0
120,1,0,0
414,0,1,0
854,0,0,0
290,0,1,0
977,1,0,0
256,1,1,0
29,1,0,0
129,0,1,0
757,0,0,0
157,0,0,0
493,1,1,0
902,0,0,0
855,0,0,0
714,0,1,0
395,1,1,0
133,1,0,0
148,1,0,0
650,0,0,0
361,1,0,0
165,1,1,0
522,0,0,0
277,0,1,0
790,1,0,0
760,1,0,0
873,1,1,0
527,0,1,0
793,1,0,0
294,0,1,0
248,0,0,0
538,1,1,0
197,0,1,0
329,0,0,0
791,0,0,0
196,1,0,0
866,1,0,0
825,0,0,0
391,1,0,0
462,1,0,0
542,0,0,0
965,0,0,0
623,1,1,0
767,1,0,0
23,1,1,0
726,0,1,0
216,0,0,0
536,0,1,0
868,1,0,0
541,0,1,0
762,0,1,0
665,0,0,0
222,1,0,0
533,1,0,0
521,1,1,0
651,0,1,0
835,1,0,0
856,0,1,0
661,1,0,0
720,0,0,0
46,0,1,0
10,0,0,0
951,0,0,0
671,1,0,0
464,0,0,0
967,1,0,0
455,1,1,0
87,1,1,0
321,0,0,0
149,0,0,0
364,1,0,0
591,0,0,0
463,0,1,0
590,1,0,0
673,0,1,0
783,1,1,0
764,1,1,0
238,0,0,0
961,1,0,0
318,0,1,0
552,1,1,0
110,1,1,0
548,0,0,0
262,1,0,0
465,1,0,0
642,0,0,0
472,1,0,0
502,0,1,0
150,1,1,0
947,0,1,0
144,0,1,0
845,1,1,0
245,0,0,0
559,1,0,0
127,0,1,0
779,0,1,0
687,0,0,0
306,1,0,0
402,0,0,0
956,1,0,0
41,1,1,0
394,1,1,0
168,0,0,0
297,1,0,0
841,0,0,0
344,0,0,0
807,1,0,0
913,0,0,0
453,1,1,0
56,1,1,0
614,0,1,0
932,0,1,0
428,1,0,0
188,0,0,0
646,1,0,0
121,1,0,0
244,0,0,0
450,1,0,0
174,1,0,0
72,0,0,0
211,0,0,0
551,0,1,0
324,1,1,0
907,1,0,0
260,1,1,0
617,1,1,0
985,1,0,0
857,0,1,0
581,0,1,0
587,0,1,0
785,0,1,0
995,1,1,0
158,1,1,0
904,0,1,0
438,0,1,0
28,1,0,0
426,1,0,0
64,0,0,0
582,1,1,0
44,1,1,0
45,0,0,0
101,1,0,0
430,0,0,0
712,0,0,0
528,1,0,0
982,0,1,0
804,0,1,0
787,1,0,0
924,0,0,0
410,1,1,0
7,1,0,0
68,1,1,0
436,0,1,0
679,1,0,0
139,1,1,0
176,1,0,0
819,0,1,0
703,0,0,0
718,0,1,0
964,0,1,0
612,0,0,0
974,1,0,0
682,0,0,0
735,1,0,0
696,1,0,0
759,1,1,0
58,1,0,0
817,1,0,0
77,0,1,0
877,0,0,0
457,1,1,0
48,0,0,0
299,0,0,0
113,1,1,0
81,1,1,0
75,0,1,0
670,0,0,0
30,0,0,0
739,0,1,0
431,0,0,0
73,1,0,0
596,1,0,0
531,0,1,0
922,1,0,0
175,1,1,0
444,1,1,0
237,1,1,0
128,1,1,0
199,0,1,0
833,1,1,0
955,0,1,0
919,1,0,0
755,1,0,0
889,1,0,0
132,1,0,0
379,1,1,0
67,1,1,0
484,1,1,0
20,0,1,0
382,1,0,0
643,0,1,0
630,1,0,0
928,1,0,0
25,1,1,0
943,1,0,0
769,0,0,0
374,1,1,0
398,0,1,0
553,1,0,0
362,0,0,0
586,1,0,0
573,0,0,0
